序号,Unicode,字符,名称,字符集
1,"007F, 0108, 0109, 010A, 010B, 010E, 010F, 0110, 0179, 017A, 017B, 017C, 2015, 2016, 2017, 201B, 201F, 2023, 2024, 2025, 2203, 2204, 2205, 2210, 2213, 2214, 2216, 2217, 2218, 221B, 221C, 221D, 2261, 2262, 2263",,.notdef,
2,,,.null,
3,,,nonmarkingreturn,
4,0020, ,space,
5,0021,!,exclam,
6,0022,,quotedbl,
7,0023,#,numbersign,
8,0024,$,dollar,
9,0025,%,percent,
10,0026,&,ampersand,
11,0027,',quotesingle,
12,0028,(,parenleft,
13,0029,),parenright,
14,002A,*,asterisk,
15,002B,+,plus,
16,002C,,comma,
17,002D,-,hyphen,
18,002E,.,period,
19,002F,/,slash,
20,0030,0,zero,
21,0031,1,one,
22,0032,2,two,
23,0033,3,three,
24,0034,4,four,
25,0035,5,five,
26,0036,6,six,
27,0037,7,seven,
28,0038,8,eight,
29,0039,9,nine,
30,003A,:,colon,
31,003B,;,semicolon,
32,003C,<,less,
33,003D,=,equal,
34,003E,>,greater,
35,003F,?,question,
36,0040,@,at,
37,0041,A,A,
38,0042,B,B,
39,0043,C,C,
40,0044,D,D,
41,0045,E,E,
42,0046,F,F,
43,0047,G,G,
44,0048,H,H,
45,0049,I,I,
46,004A,J,J,
47,004B,K,K,
48,004C,L,L,
49,004D,M,M,
50,004E,N,N,
51,004F,O,O,
52,0050,P,P,
53,0051,Q,Q,
54,0052,R,R,
55,0053,S,S,
56,0054,T,T,
57,0055,U,U,
58,0056,V,V,
59,0057,W,W,
60,0058,X,X,
61,0059,Y,Y,
62,005A,Z,Z,
63,005B,[,bracketleft,
64,005C,\,backslash,
65,005D,],bracketright,
66,005E,^,asciicircum,
67,005F,_,underscore,
68,0060,`,grave,
69,0061,a,a,
70,0062,b,b,
71,0063,c,c,
72,0064,d,d,
73,0065,e,e,
74,0066,f,f,
75,0067,g,g,
76,0068,h,h,
77,0069,i,i,
78,006A,j,j,
79,006B,k,k,
80,006C,l,l,
81,006D,m,m,
82,006E,n,n,
83,006F,o,o,
84,0070,p,p,
85,0071,q,q,
86,0072,r,r,
87,0073,s,s,
88,0074,t,t,
89,0075,u,u,
90,0076,v,v,
91,0077,w,w,
92,0078,x,x,
93,0079,y,y,
94,007A,z,z,
95,007B,{,braceleft,
96,007C,|,bar,
97,007D,},braceright,
98,007E,~,asciitilde,
99,00C4,Ä,Adieresis,
100,00C5,Å,Aring,
101,00C7,Ç,Ccedilla,
102,00C9,É,Eacute,
103,00D1,Ñ,Ntilde,
104,00D6,Ö,Odieresis,
105,00DC,Ü,Udieresis,
106,00E1,á,aacute,
107,00E0,à,agrave,
108,00E2,â,acircumflex,
109,00E4,ä,adieresis,
110,00E3,ã,atilde,
111,00E5,å,aring,
112,00E7,ç,ccedilla,
113,00E9,é,eacute,
114,00E8,è,egrave,
115,00EA,ê,ecircumflex,
116,00EB,ë,edieresis,
117,00ED,í,iacute,
118,00EC,ì,igrave,
119,00EE,î,icircumflex,
120,00EF,ï,idieresis,
121,00F1,ñ,ntilde,
122,00F3,ó,oacute,
123,00F2,ò,ograve,
124,00F4,ô,ocircumflex,
125,00F6,ö,odieresis,
126,00F5,õ,otilde,
127,00FA,ú,uacute,
128,00F9,ù,ugrave,
129,00FB,û,ucircumflex,
130,00FC,ü,udieresis,
131,2020,†,dagger,
132,00B0,°,degree,
133,00A2,¢,cent,
134,00A3,£,sterling,
135,00A7,§,section,
136,2022,•,bullet,
137,00B6,¶,paragraph,
138,00DF,ß,germandbls,
139,00AE,®,registered,
140,00A9,©,copyright,
141,2122,™,trademark,GB2312
142,00B4,´,acute,
143,00A8,¨,dieresis,
144,2260,≠,notequal,
145,00C6,Æ,AE,
146,00D8,Ø,Oslash,
147,221E,∞,infinity,GB2312
148,00B1,±,plusminus,
149,2264,≤,lessequal,GB2312
150,2265,≥,greaterequal,GB2312
151,00A5,¥,yen,
152,00B5,µ,mu,
153,2202,∂,partialdiff,
154,2211,∑,summation,GB2312
155,220F,∏,product,
156,03C0,π,pi,
157,222B,∫,integral,GB2312
158,00AA,ª,ordfeminine,
159,00BA,º,ordmasculine,
160,03A9,Ω,Omega,
161,00E6,æ,ae,
162,00F8,ø,oslash,
163,00BF,¿,questiondown,
164,00A1,¡,exclamdown,
165,00AC,¬,logicalnot,
166,221A,√,radical,GB2312
167,0192,ƒ,florin,
168,2248,≈,approxequal,GB2312
169,2206,∆,Delta,
170,00AB,«,guillemotleft,
171,00BB,»,guillemotright,
172,2026,…,ellipsis,
173,00A0, ,nonbreakingspace,
174,00C0,À,Agrave,
175,00C3,Ã,Atilde,
176,00D5,Õ,Otilde,
177,0152,Œ,OE,
178,0153,œ,oe,
179,2013,–,endash,
180,2014,—,emdash,
181,201C,“,quotedblleft,
182,201D,”,quotedblright,
183,2018,‘,quoteleft,
184,2019,’,quoteright,
185,00F7,÷,divide,
186,25CA,◊,lozenge,GB2312
187,00FF,ÿ,ydieresis,
188,0178,Ÿ,Ydieresis,
189,2215,∕,fraction,GB2312
190,00A4,¤,currency,
191,2039,‹,guilsinglleft,
192,203A,›,guilsinglright,
193,F001,,fi,
194,F002,,fl,
195,2021,‡,daggerdbl,
196,00B7,·,periodcentered,
197,201A,‚,quotesinglbase,
198,201E,„,quotedblbase,
199,2030,‰,perthousand,
200,00C2,Â,Acircumflex,
201,00CA,Ê,Ecircumflex,
202,00C1,Á,Aacute,
203,00CB,Ë,Edieresis,
204,00C8,È,Egrave,
205,00CD,Í,Iacute,
206,00CE,Î,Icircumflex,
207,00CF,Ï,Idieresis,
208,00CC,Ì,Igrave,
209,00D3,Ó,Oacute,
210,00D4,Ô,Ocircumflex,
211,F000,,apple,
212,00D2,Ò,Ograve,
213,00DA,Ú,Uacute,
214,00DB,Û,Ucircumflex,
215,00D9,Ù,Ugrave,
216,0131,ı,dotlessi,
217,02C6,ˆ,circumflex,
218,02DC,˜,tilde,
219,00AF,¯,macron,
220,02D8,˘,breve,
221,02D9,˙,dotaccent,
222,02DA,˚,ring,
223,00B8,¸,cedilla,
224,02DD,˝,hungarumlaut,
225,02DB,˛,ogonek,
226,02C7,ˇ,caron,
227,0141,Ł,Lslash,
228,0142,ł,lslash,
229,0160,Š,Scaron,
230,0161,š,scaron,
231,017D,Ž,Zcaron,
232,017E,ž,zcaron,
233,00A6,¦,brokenbar,
234,00D0,Ð,Eth,
235,00F0,ð,eth,
236,00DD,Ý,Yacute,
237,00FD,ý,yacute,
238,00DE,Þ,Thorn,
239,00FE,þ,thorn,
240,2212,−,minus,GB2312
241,00D7,×,multiply,
242,00B9,¹,onesuperior,
243,00B2,²,twosuperior,
244,00B3,³,threesuperior,
245,00BC,¼,onequarter,
246,00BD,½,onehalf,
247,00BE,¾,threequarters,
248,20A3,₣,franc,
249,011E,Ğ,Gbreve,
250,011F,ğ,gbreve,
251,0130,İ,Idotaccent,
252,015E,Ş,Scedilla,
253,015F,ş,scedilla,
254,0106,Ć,Cacute,
255,0107,ć,cacute,
256,010C,Č,Ccaron,
257,010D,č,ccaron,
258,0111,đ,dcroat,
259,00AD,­,sfthyphen,
